question_kr,age_kr,gender,pct_sd,pct_d,pct_n,pct_a,pct_sa,keyword_kr
"동성애자나 외국인노동자, 장애인 등 사회적 약자와 소수자를 보호하고자 하는 사람들의 도덕적 우월감에 불편함을 느낀다.",40대,남성,2.5600,24.4400,39.6400,22.9400,10.4100,"우열 수용체"
"동성애자나 외국인노동자, 장애인 등 사회적 약자와 소수자를 보호하고자 하는 사람들의 도덕적 우월감에 불편함을 느낀다.",50대,남성,4.3600,20.7000,39.4200,27.7800,7.7500,"우열 수용체"
"동성애자나 외국인노동자, 장애인 등 사회적 약자와 소수자를 보호하고자 하는 사람들의 도덕적 우월감에 불편함을 느낀다.",60대,남성,4.2000,28.3600,28.8100,27.6800,10.9400,"우열 수용체"
"동성애자나 외국인노동자, 장애인 등 사회적 약자와 소수자를 보호하고자 하는 사람들의 도덕적 우월감에 불편함을 느낀다.",70대 이상,남성,3.7800,25.4800,29.3500,33.9000,7.4900,"우열 수용체"
"동성애자나 외국인노동자, 장애인 등 사회적 약자와 소수자를 보호하고자 하는 사람들의 도덕적 우월감에 불편함을 느낀다.",20대,여성,20.5800,30.9300,30.4400,14.9000,3.1600,"우열 수용체"
"동성애자나 외국인노동자, 장애인 등 사회적 약자와 소수자를 보호하고자 하는 사람들의 도덕적 우월감에 불편함을 느낀다.",30대,여성,9.1100,33.9200,33.3800,17.3000,6.3000,"우열 수용체"
"동성애자나 외국인노동자, 장애인 등 사회적 약자와 소수자를 보호하고자 하는 사람들의 도덕적 우월감에 불편함을 느낀다.",40대,여성,4.2300,30.1400,36.6900,24.3000,4.6400,"우열 수용체"
"동성애자나 외국인노동자, 장애인 등 사회적 약자와 소수자를 보호하고자 하는 사람들의 도덕적 우월감에 불편함을 느낀다.",50대,여성,5.3900,31.7400,36.9900,21.8600,4.0200,"우열 수용체"
"동성애자나 외국인노동자, 장애인 등 사회적 약자와 소수자를 보호하고자 하는 사람들의 도덕적 우월감에 불편함을 느낀다.",60대,여성,5.5300,27.1200,28.6400,30.5900,8.1200,"우열 수용체"
"동성애자나 외국인노동자, 장애인 등 사회적 약자와 소수자를 보호하고자 하는 사람들의 도덕적 우월감에 불편함을 느낀다.",70대 이상,여성,1.4400,18.5800,36.6000,29.9500,13.4300,"우열 수용체"
"남녀 임금 격차에는 타당한 이유가 있다.",20대,남성,9.0900,12.4500,24.8100,31.2400,22.4100,"우열 수용체"
"남녀 임금 격차에는 타당한 이유가 있다.",30대,남성,8.1300,7.9400,28.5400,33.8600,21.5200,"우열 수용체"
"남녀 임금 격차에는 타당한 이유가 있다.",40대,남성,1.4900,13.6900,32.8900,35.2000,16.7300,"우열 수용체"
"남녀 임금 격차에는 타당한 이유가 있다.",50대,남성,4.3800,22.2700,36.6400,28.9700,7.7400,"우열 수용체"
"남녀 임금 격차에는 타당한 이유가 있다.",60대,남성,5.8500,24.1800,20.7800,42.9500,6.2500,"우열 수용체"
"남녀 임금 격차에는 타당한 이유가 있다.",70대 이상,남성,2.5700,19.5900,18.0400,50.2200,9.5900,"우열 수용체"
